(K/u)_L,(K/u)_M,Jm_L,Jm_M,u_L/u_M(Shear contrast),volume contrast,critical strain,wavenumber
100,1000,1000,30,100,0.06,0.0360866,0.88
1000,1000,1000,30,100,0.06,0.0360869,0.88
0.1,1000,1000,90,100,0.06,0.034264526,0.8
0.2,1000,1000,90,100,0.06,0.0361628,0.85
1,1000,1000,90,100,0.06,0.0363172,0.88
10,1000,1000,90,100,0.06,0.0363492,0.89
100,1000,1000,90,100,0.06,0.0363523,0.89
1000,1000,1000,90,100,0.06,0.0363526,0.89
0.1,1000,1000,100,100,0.06,0.035018921,0.81
0.2,1000,1000,100,100,0.06,0.036176758,0.85
1,1000,1000,100,100,0.06,0.036331177,0.88
10,1000,1000,100,100,0.06,0.036363525,0.89
100,1000,1000,100,100,0.06,0.036366577,0.89
1000,1000,1000,100,100,0.06,0.036366577,0.89
0.1,1000,1000,300,100,0.06,0.035681763,0.81
0.2,1000,1000,300,100,0.06,0.036260986,0.85
1,1000,1000,300,100,0.06,0.036416016,0.88
10,1000,1000,300,100,0.06,0.036447754,0.89
100,1000,1000,300,100,0.06,0.036451416,0.89
1000,1000,1000,300,100,0.06,0.036451416,0.89
0.1,1000,1000,500,100,0.06,0.035941772,0.81
0.2,1000,1000,500,100,0.06,0.036278076,0.85
1,1000,1000,500,100,0.06,0.036433105,0.88
10,1000,1000,500,100,0.06,0.036465454,0.89
100,1000,1000,500,100,0.06,0.036468506,0.89
1000,1000,1000,500,100,0.06,0.036468506,0.89
0.1,1000,1000,1000,100,0.06,0.0359552,0.81
0.2,1000,1000,1000,100,0.06,0.036290894,0.85
1,1000,1000,1000,100,0.06,0.036446533,0.88
10,1000,1000,1000,100,0.06,0.036478271,0.89
100,1000,1000,1000,100,0.06,0.036481323,0.89
1000,1000,1000,1000,100,0.06,0.036481934,0.89
0.1,1000,1000,0.01,100,0.08,0.0287452,0.48
0.2,1000,1000,0.01,100,0.08,0.0289596,0.49
